SG_UF;SG_PARTIDO;VR_GASTO
AC;DEM;437708
AC;MDB;1330683
AC;PSB;227794
AC;PSDB;848726
AC;PT;679571
AL;DEM;220073
AL;MDB;848935
AL;PSB;565400
AL;PSDB;804878
AL;PT;164348
AM;DEM;504345
AM;MDB;1176411
AM;PSB;201710
AM;PSDB;1080299
AM;PT;460805
AP;DEM;0
AP;MDB;702402
AP;PSB;467127
AP;PSDB;0
AP;PT;8791
BA;DEM;2286464
BA;MDB;2434064
BA;PSB;836782
BA;PSDB;1327580
BA;PT;3007717
BR;DEM;34629416
BR;MDB;89967833
BR;PSB;57082221
BR;PSDB;93700240
BR;PT;139616543
CE;DEM;274884
CE;MDB;1694576
CE;PSB;519600
CE;PSDB;2079098
CE;PT;3882651
DF;DEM;297299
DF;MDB;1452900
DF;PSB;1372667
DF;PSDB;1121259
DF;PT;1529525
ES;DEM;124755
ES;MDB;955810
ES;PSB;637512
ES;PSDB;1008830
ES;PT;810581
GO;DEM;323103
GO;MDB;1302924
GO;PSB;2457596
GO;PSDB;1888216
GO;PT;1394731
MA;DEM;532011
MA;MDB;1264791
MA;PSB;283042
MA;PSDB;1509417
MA;PT;997578
MG;DEM;2152524
MG;MDB;3232163
MG;PSB;2183445
MG;PSDB;4417173
MG;PT;6608393
MS;DEM;190812
MS;MDB;1830026
MS;PSB;422345
MS;PSDB;2113370
MS;PT;1142511
MT;DEM;638451
MT;MDB;220341
MT;PSB;18010
MT;PSDB;345325
MT;PT;333692
PA;DEM;52616
PA;MDB;1949259
PA;PSB;312268
PA;PSDB;1173128
PA;PT;1852052
PB;DEM;673606
PB;MDB;1507968
PB;PSB;760455
PB;PSDB;1713843
PB;PT;1158895
PE;DEM;666416
PE;MDB;1070890
PE;PSB;2060220
PE;PSDB;1893004
PE;PT;1760485
PI;DEM;356702
PI;MDB;851571
PI;PSB;347322
PI;PSDB;1265003
PI;PT;1376101
PR;DEM;307353
PR;MDB;1632420
PR;PSB;998023
PR;PSDB;1510067
PR;PT;3641478
RJ;DEM;743350
RJ;MDB;2450593
RJ;PSB;621739
RJ;PSDB;811198
RJ;PT;3055053
RN;DEM;508577
RN;MDB;887939
RN;PSB;480112
RN;PSDB;111886
RN;PT;778243
RO;DEM;120344
RO;MDB;1070033
RO;PSB;217100
RO;PSDB;648664
RO;PT;163019
RR;DEM;254347
RR;MDB;1277369
RR;PSB;238188
RR;PSDB;802522
RR;PT;248010
RS;DEM;650060
RS;MDB;3659187
RS;PSB;1667473
RS;PSDB;1856977
RS;PT;7142327
SC;DEM;187731
SC;MDB;2473020
SC;PSB;260617
SC;PSDB;1352137
SC;PT;2078719
SE;DEM;285170
SE;MDB;935117
SE;PSB;1289239
SE;PSDB;318
SE;PT;1609505
SP;DEM;1337739
SP;MDB;5867924
SP;PSB;4780140
SP;PSDB;8739146
SP;PT;5047008
TO;DEM;268694
TO;MDB;581669
TO;PSB;556324
TO;PSDB;824117
TO;PT;581830
