SG_PARTIDO;DS_GASTO_NIVEL1;VR_GASTO
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;DESPESAS FINANCEIRAS ;0
DEM;TRIBUTOS ;349.92
DEM;TRIBUTOS ;394.75
DEM;TRIBUTOS ;394.75
DEM;TRIBUTOS ;394.75
DEM;TRIBUTOS ;394.75
DEM;TRIBUTOS ;394.75
DEM;TRIBUTOS ;255.45
DEM;TRIBUTOS ;89.3
DEM;TRIBUTOS ;244.75
DEM;PESSOAL ;378.43
DEM;PESSOAL ;582.2
DEM;PESSOAL ;582.2
DEM;PESSOAL ;436.65
DEM;PESSOAL ;436.65
DEM;PESSOAL ;276.55
DEM;PESSOAL ;320.21
DEM;PESSOAL ;160.11
DEM;ALUGU…IS E CONDOMÕçNIOS ;390
DEM;ALUGU…IS E CONDOMÕçNIOS ;390
DEM;ALUGU…IS E CONDOMÕçNIOS ;390
DEM;ALUGU…IS E CONDOMÕçNIOS ;390
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;49.28
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;49.28
DEM;ALUGU…IS E CONDOMÕçNIOS ;390
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;50.06
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;50.06
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;50.06
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;50.06
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;50.24
DEM;MATERIAL DE CONSUMO ;140
DEM;PESSOAL ;266.57
DEM;PESSOAL ;33.32
DEM;MATERIAL DE CONSUMO ;220
DEM;ATIVO PERMANENTE ;646.5
DEM;TRANSPORTES E VIAGENS ;2500.63
DEM;TRANSPORTES E VIAGENS ;2750.83
DEM;TRANSPORTES E VIAGENS ;2604.19
DEM;TRANSPORTES E VIAGENS ;2438.1
DEM;TRANSPORTES E VIAGENS ;2653.38
DEM;TRANSPORTES E VIAGENS ;1577.18
DEM;MATERIAL DE CONSUMO ;829
DEM;TRANSPORTES E VIAGENS ;1938.96
DEM;MATERIAL DE CONSUMO ;197.25
DEM;MATERIAL DE CONSUMO ;927
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;422.44
DEM;MATERIAL DE CONSUMO ;80
DEM;MATERIAL DE CONSUMO ;275
DEM;ATIVO PERMANENTE ;1670
DEM;ATIVO PERMANENTE ;969
DEM;ATIVO PERMANENTE ;1259
DEM;MATERIAL DE CONSUMO ;156
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;1154
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;1200
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;365.98
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;211.32
DEM;MATERIAL DE CONSUMO ;229.9
DEM;MATERIAL DE CONSUMO ;89.97
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;948.24
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;228
DEM;MATERIAL DE CONSUMO ;1398.13
DEM;ATIVO PERMANENTE ;180.1
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;350
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;306
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;140
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;140
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;140
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;140
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;140
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;140
DEM;EVENTOS PROMOCIONAIS ;27000
DEM;ALUGU…IS E CONDOMÕçNIOS ;250
DEM;ATIVO PERMANENTE ;952.01
DEM;MATERIAL DE CONSUMO ;219.88
DEM;MATERIAL DE CONSUMO ;853.82
DEM;MATERIAL DE CONSUMO ;1195.5
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;350
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;750
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;300
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;950
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;1460
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;350
DEM;MANUTEN«√O, CONSERVA«√O E REPAROS DE BENS ;450
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;500
DEM;SERVI«OS T…CNICO-PROFISSIONAIS ;1000
DEM;TRANSPORTES E VIAGENS ;700.37
DEM;TELECOMUNICA«’ES E INTERNET ;300.52
DEM;TELECOMUNICA«’ES E INTERNET ;289.64
DEM;TELECOMUNICA«’ES E INTERNET ;429.45
DEM;ENERGIA EL…TRICA ;743.86
DEM;ENERGIA EL…TRICA ;865.11
DEM;ENERGIA EL…TRICA ;940.19
DEM;ENERGIA EL…TRICA ;1080.52
DEM;¡ÅGUA E ESGOTO ;124.9
DEM;¡ÅGUA E ESGOTO ;128.54
DEM;¡ÅGUA E ESGOTO ;198.86
DEM;¡ÅGUA E ESGOTO ;316.06
DEM;¡ÅGUA E ESGOTO ;737.98
DEM;¡ÅGUA E ESGOTO ;198.86
DEM;¡ÅGUA E ESGOTO ;128.54
DEM;TELECOMUNICA«’ES E INTERNET ;50.98
DEM;TELECOMUNICA«’ES E INTERNET ;50.98
DEM;TELECOMUNICA«’ES E INTERNET ;22.08
DEM;TELECOMUNICA«’ES E INTERNET ;746.13
DEM;TELECOMUNICA«’ES E INTERNET ;811.62
DEM;TELECOMUNICA«’ES E INTERNET ;833.76
DEM;TELECOMUNICA«’ES E INTERNET ;779.89
DEM;PESSOAL ;531.42
DEM;PESSOAL ;1265.53
DEM;PESSOAL ;1012.57
DEM;PESSOAL ;1012.57
DEM;PESSOAL ;1012.57
DEM;PESSOAL ;1041.23
DEM;PESSOAL ;1041.23
