target;quantidade
Flamengo;3132
flamengoloide;496
andrizek;433
centraldanacao;428
Reikrauss;411
BuchechaOficial;398
crf_marlon10;374
Brasileirao;365
EuclidesFla;284
vgammaross;278
rodolfo1975;275
globoesportecom;209
gustavovillani;195
Vitor9_oficial;170
futebol_info;169
ge_fla;163
meufIamengao;160
OsFlanaticos_;160
ColunadoFla;139
FLANAACAO;139
paixaornegra_;128
luizfilipecm;124
paolo_crf;112
rubronegroofi;107
fla_wallpapers;105
_natancrf;101
cavalinhodocec;99
diegoalvesgol;96
flaamor1981;95
gabigol;95
rodrigorotzsch;85
jozanovalis;80
Cavalinho_CRF85;72
klinghofferj;66
carloscereto;65
Dryzinho_praero;58
PoetasFla;57
joaofcr;54
teofb;53
b_delaurentis;52
RMPoficial;52
SporTV;52
venecasagrande;52
crfrthr;51
ubiraleal;51
lateralesquerd0;50
maurocezar;50
DiasHulisses;48
UrubuTT_;48
1982olavo;47
PabloMV5;42
UrubuCartoon;41
fabiojusttino;39
lazlodalfovo;39
eugenioleal;38
favelanewsrj;38
AllanMadi;37
ofutebolnews;35
JornalDaCidadeO;34
planetabrazuka_;34
PatriaRub_Negra;32
peagxxcrf;30
garcialuciano27;28
PortalFla;28
Atilafla;27
WrobelRenato;27
AmstelBrasil;25
futtmais;25
FoxSportsBrasil;24
juanj4oficial;24
Anaa_Olive;23
GutbergMouraCRF;23
jucrvgit;23
Rodri_Bruno;21
Sihdney;21
startupdareal;21
ESPNagora;20
lateralzeca;20
RCSaraiva;20
Saraiva62899856;20
TaLuegoGente;20
FlanaticosRjofc;19
NacaoFLA9;19
FlavinhoKavalo;18
BlogdoJuca;17
Brunohenrique;17
vinicalixto_CRF;17
CentralFoxBR;16
DamianAzul10;16
Esp_Interativo;16
gugachacra;16
Ngc_Borges;16
oflamengueiro_;16
CLEITONTETRAS;15
GersonSantos08;15
LucasCollar;15
cahemota;14
DiaDiaFlu;14
Flazueiro;14
guimisantos;14
Miltonneves;14
UOLEsporte;14
TimeFlamengo;13
daniel_bonn;12
DTransferencias;12
fredaosoares;12
NandaMottaCRF;12
ogloboesportee;12
PaparazzoRN;12
qatarairways;12
ErosMendes;11
MarcelloLimaCRF;11
rodrigosalem;11
Solanopo;11
SVs_Importados;11
BernardoMF;10
BrunoMalta__;10
crbenfica;10
dluiz05;10
drgetulio;10
Ferreira221B;10
jessica_sannes;10
PadreMiguelNews;10
aageetee;9
csampaio_pele;9
Helder_Santos85;9
imprensa7x1;9
GarrafaoRN;8
GiorgiandeA;8
LFC;8
mcwjota;8
nikbessa;8
robinhocb84;8
TomCavalcante1;8
VirtudesSanchez;8
_rodrigomattos_;7
_thsports;7
alexlusquinos;7
AndradeRNegro2;7
AquiEhParmera;7
BafGomis;7
BastidoresFla;7
BelgranoAltaOK;7
BSCkleber;7
joanferdez;7
lucas_musetti;7
MC_FC_1894;7
MWfutebol;7
peterjordan100;7
RankingSocioVG;7
ReinierJesus_10;7
Rubronegro_81;7
SerieAdoBrasil;7
villalbafede;7
__steffany;6
_FlaDaDepressao;6
ademirquintino;6
alvesbuuhh;6
castrofbpa_;6
CRF_Paula;6
crisenoflamengo;6
dbatista31;6
eltanopop;6
footballitalia;6
Foxmultimarcass;6
itoncrf_;6
jantadaflatt;6
luanlima94;6
opedrocaruso;6
