NM_PARTIDO,PESSOAF,PESSOAJ,Total geral
AVANTE,7800,132691,140491
DEMOCRATAS,-2568976,6991702,4422726
MOVIMENTO DEMOCRÁTICO BRASILEIRO,0979.4,29.10,17.2
PARTIDO COMUNISTA DO BRASIL,14215,-61924,-47709
PARTIDO DA MOBILIZAÇÃO NACIONAL,,130984,130984
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,32545.2,12963528,24156419
PARTIDO DEMOCRÁTICO TRABALHISTA,30550,1764180,1794730
PARTIDO DOS TRABALHADORES,-2771023,12479480,9708457
PARTIDO HUMANISTA DA SOLIDARIEDADE,,16.4,16.4
PARTIDO LIBERAL,4106622,1.4,18.10
PARTIDO NOVO,18000,614545,632545
PARTIDO POPULAR SOCIALISTA,6993,351555,358548
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1874,25.9,656293
PARTIDO REPUBLICANO DA ORDEM SOCIAL,2255.12,17.10,07.10
PARTIDO REPUBLICANO PROGRESSISTA,24900,141960,166860
PARTIDO SOCIAL CRISTÃO,1330001,2679191,4009192
PARTIDO SOCIAL DEMOCRÁTICO,6148770,15340147,21488917
PARTIDO SOCIAL LIBERAL,7480,10.10,3.4
PARTIDO SOCIALISMO E LIBERDADE,,28.12,28.12
PARTIDO SOCIALISTA BRASILEIRO,125686,4190096,4315782
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,8250,579172,587422
PARTIDO TRABALHISTA BRASILEIRO,74080,2799497,2873577
PARTIDO VERDE,,651231,651231
PATRIOTA,5000,25.1,5.10
REDE SUSTENTABILIDADE,9503,297740,307243
REPUBLICANOS,-558529,1730300,1171771
SOLIDARIEDADE,42670,377207,419877
